time,dt,e_yy,gr0_area,grain_tracker,run_time,slip_increment,stress_yy,vonmises_stress
0.001,0.001,3.1250053981143e-06,70819.531740399,2,6.576901325,3.9055223332504e-31,0.37473466391924,0.33126349982181
0.0022,0.0012,6.8750261273871e-06,70819.484128341,2,13.560534567,1.0359521529241e-27,0.8244075157003,0.72876981941603
0.00364,0.00144,1.1375071524169e-05,70819.454880684,2,20.302365054,1.5927242109808e-25,1.3640322446225,1.2057944994504
0.005368,0.001728,1.6775155551419e-05,70819.431584247,2,27.425688762,7.7494104084371e-24,2.0115951023342,1.7782364661954
0.0074416,0.0020736,2.3255298937327e-05,70819.408612449,2,34.599866237,2.0315481459906e-22,2.7886895053227,2.4651845787647
0.00992992,0.00248832,3.1031532276549e-05,70819.383137203,2,42.336943223,3.636181917833e-21,3.7212300704094,3.2895478365794
0.012915904,0.002985984,4.0363100520179e-05,70819.353423949,2,49.521738623,5.040405720189e-20,4.8403181141543,4.2788205848549
0.0164990848,0.0035831808,5.1561109464226e-05,70819.318090079,2,57.173275363,5.8338328818257e-19,6.183310429607,5.4660255836947
0.02079890176,0.00429981696,6.4998903164261e-05,70819.275766994,2,64.91739069,5.9129167416736e-18,7.7949540159125,6.8907224792777
0.025958682112,0.005159780352,8.112451906217e-05,70819.224927599,2,72.542017431,5.4234395431389e-17,9.7290444988475,8.6004709154253
0.0321504185344,0.0061917364224,0.00010047563751082,70819.163776971,2,80.256424953,4.6065461383971e-16,12.050122307649,10.652327353791
0.03958050224128,0.00743008370688,0.00012369752593092,70819.090161064,2,87.667207712,3.6846205235446e-15,14.835657194078,13.114779992472
0.048496602689536,0.008916100448256,0.00015156457864262,70819.001471966,2,95.457161367,2.8104510569958e-14,18.17864135831,16.070044284024
0.059195923227443,0.010699320537907,0.00018500617457871,70818.894537523,2,103.271030333,2.0638865002445e-13,22.190738891299,19.616844612976
0.072035107872932,0.012839184645489,0.00022513772067923,70818.765486072,2,111.105096438,1.4700333026856e-12,27.005962561679,23.87366442076
0.087442129447518,0.015407021574586,0.00027329792438053,70818.609576964,2,119.144915961,1.0214617609336e-11,32.785201664432,28.982756288813
0.10593055533702,0.018488425889504,0.00033109355043168,70818.420985709,2,127.149108756,6.9567593430212e-11,39.721895826923,35.115170343683
0.12811666640443,0.022186111067404,0.0004004531703703,70818.192529384,2,135.167220163,4.6611498656148e-10,48.048167269501,42.476146764185
0.15473999968531,0.026623333280885,0.00048369172449302,70817.915313259,2,143.313994752,3.0829948570705e-09,58.043193910449,51.312425807043
0.18668799962237,0.031947999937062,0.00058358808390384,70817.578273122,2,151.006696878,2.0156150581199e-08,70.040546625408,61.919253619035
0.22502559954685,0.038337599924475,0.00070347825640949,70817.167579026,2,160.80091629,1.3048074145614e-07,84.4384434059,74.648594100991
0.27103071945622,0.04600511990937,0.00084736745986013,70816.665854047,2,173.536415551,8.3361322773688e-07,101.68198753272,89.893552312964
0.32623686334746,0.055206143891244,0.001020065326014,70816.051145293,2,188.229625015,5.1096018441232e-06,122.07393432997,107.91817073677
0.39248423601695,0.066247372669492,0.0012273517093294,70815.29556245,2,209.197891557,2.6685729730644e-05,144.82706352612,128.0154175761
0.4256079223517,0.033123686334746,0.0013310173438211,70814.910502156,2,259.800672638,5.136435390384e-05,155.27026861839,137.23742308936
0.45873160868645,0.033123686334746,0.001434702600057,70814.520650693,2,274.551572979,8.5905947938231e-05,164.42445987569,145.32203490458
0.49848003228814,0.039748423601695,0.0015591581507336,70814.046566882,2,290.514017921,0.00013239100214519,173.25495998269,153.12969393276
0.51040455936865,0.011924527080509,0.0015965015161199,70813.879335774,2,372.927660325,0.00014804261344885,175.69150337108,155.28790806896
0.52232908644916,0.011924527080509,0.001633849068658,70813.727190836,2,383.450777606,0.00016300529461876,177.90648018727,157.25192712662
0.53663851894577,0.01430943249661,0.0016786721825729,70813.549898889,2,394.469712137,0.00017927045483715,180.26157081638,159.34371007854
0.5538098379417,0.017171318995932,0.0017324691454163,70813.338570873,2,410.296203926,0.00019609675444699,182.69471621858,161.51135218644
0.57441542073682,0.020605582795119,0.0017970396235214,70813.084416408,2,427.445085611,0.00021208074299542,185.1218415447,163.68282958555
0.59914212009096,0.024726699354143,0.0018745456389821,70812.777529056,2,445.304983464,0.00022585619002022,187.46278473681,165.7933818326
0.61397813970345,0.014836019612486,0.0019210599432251,70812.599939735,2,504.976135598,0.00023263215904446,188.70193765352,166.91740490084
0.62139614950969,0.0074180098062428,0.0019443200966529,70812.507956273,2,551.977815801,0.0002355997797737,189.28333049927,167.4473493279
0.62881415931593,0.0074180098062428,0.0019675824768687,70812.415111704,2,567.313691238,0.00023826505989451,189.82736987863,167.94564171818
0.63326496519968,0.0044508058837457,0.0019815409114434,70812.361473058,2,609.17339775,0.0002397165306256,190.14167402523,168.23473755544
0.63771577108343,0.0044508058837457,0.0019955001701776,70812.306176581,2,620.308615182,0.00024105945885892,190.44369597216,168.51330038056
0.64305673814392,0.0053409670604948,0.0020122523945889,70812.239100803,2,631.692420376,0.00024250874581003,190.78940831274,168.83329417404
0.64946589861651,0.0064091604725938,0.0020323566653574,70812.158194713,2,643.120261268,0.00024399672467931,191.18140409981,169.19781711255
0.65715689118363,0.0076909925671125,0.0020564840919882,70812.06077291,2,658.524534307,0.00024558311875234,191.62398018574,169.61174573291
0.66638608226416,0.009229191080535,0.0020854403679686,70811.943496886,2,674.725403004,0.00024703655441543,192.11620124186,170.0740641987
